player_uid,player_name,team,position,price,horizon_xp
code:10080,FAL DEF3,FAL,DEF,63,14.934000000000001
code:10081,FAL DEF4,FAL,DEF,55,13.306
code:10051,DOR DEF4,DOR,DEF,53,10.066
code:10036,COV DEF4,COV,DEF,52,8.776
code:10007,ALB DEF5,ALB,DEF,42,3.9739999999999998
code:10029,BIR FWD2,BIR,FWD,74,15.825999999999999
code:10014,ALB FWD2,ALB,FWD,73,13.612
code:10074,EXE FWD2,EXE,FWD,77,12.175999999999998
code:10076,FAL GKP1,FAL,GKP,60,14.18
code:10001,ALB GKP1,ALB,GKP,55,10.886
code:10054,DOR MID2,DOR,MID,90,17.651999999999997
code:10025,BIR MID3,BIR,MID,75,17.448
code:10056,DOR MID4,DOR,MID,64,14.948
code:10040,COV MID3,COV,MID,76,14.92
code:10024,BIR MID2,BIR,MID,88,14.698
