player_uid,expected_minutes,expected_goals,expected_assists,expected_saves,mean_xp,p_appearance,p_start,p_60_plus,p0,p6_plus,p10_plus,player_name,team,position,price,prediction_run_id,season,gameweek
code:10054,82.29084176881975,0.2836993193744046,0.311915825401888,0.0,4.752,0.9999947395979515,0.9999879368110532,0.9799881780748322,0.038,0.35,0.11,DOR MID2,DOR,MID,90,project_20260722T045210Z,2025-26,1
code:10053,82.29163411601975,0.2847089793160004,0.23526488977380397,0.0,4.582,0.9999998024728874,0.9999995196822304,0.9799995292885858,0.018,0.344,0.094,DOR MID1,DOR,MID,103,project_20260722T045210Z,2025-26,1
code:10008,82.29163284931411,0.2794575394882201,0.2756303778523368,0.0,4.52,0.9999997637385117,0.999999514280795,0.9799995239951791,0.008,0.33,0.08,ALB MID1,ALB,MID,100,project_20260722T045210Z,2025-26,1
code:10024,82.29089503523703,0.2330183304465096,0.22963639674490813,0.0,4.266,0.9999941407517867,0.9999891175131098,0.9799893351628476,0.012,0.29,0.062,BIR MID2,BIR,MID,88,project_20260722T045210Z,2025-26,1
code:10055,82.27395461496113,0.20126290838891783,0.23647329834721895,0.0,4.2,0.999882799096911,0.9997428009354272,0.9797479449167187,0.024,0.28,0.07,DOR MID3,DOR,MID,77,project_20260722T045210Z,2025-26,1
code:10058,83.27540656112075,0.3925393859179681,0.08538006792317064,0.0,4.132,0.9999802613382077,0.9999682184356554,0.9799688540669423,0.046,0.338,0.074,DOR FWD1,DOR,FWD,94,project_20260722T045210Z,2025-26,1
code:10023,82.29162897095092,0.2051010135437621,0.18082039910315523,0.0,4.012,0.9999997695321645,0.9999994444973108,0.9799994556073646,0.014,0.26,0.048,BIR MID1,BIR,MID,101,project_20260722T045210Z,2025-26,1
code:10025,82.27441461286732,0.14454044450562906,0.2068858242261306,0.0,3.952,0.9998513041140961,0.9997642651289014,0.9797689798263234,0.018,0.244,0.05,BIR MID3,BIR,MID,75,project_20260722T045210Z,2025-26,1
code:10009,82.29090210544436,0.181932368214108,0.22987029300810038,0.0,3.908,0.9999945876143632,0.9999890489247734,0.9799892679462778,0.004,0.222,0.044,ALB MID2,ALB,MID,87,project_20260722T045210Z,2025-26,1
code:10056,81.8842040190507,0.24213059551057695,0.19610810874704523,0.0,3.84,0.9971562738112961,0.9941463357635064,0.9742634090482363,0.096,0.254,0.058,DOR MID4,DOR,MID,64,project_20260722T045210Z,2025-26,1
code:10070,82.27454189025829,0.1928382187230162,0.1747933927465472,0.0,3.79,0.9998562839212455,0.9997643422160675,0.9797690553717461,0.026,0.224,0.048,EXE MID3,EXE,MID,78,project_20260722T045210Z,2025-26,1
code:10048,82.72290257045421,0.10398765057968513,0.07259838354262946,0.0,3.786,0.9999765448987522,0.9999623423524536,0.9799630955054045,0.078,0.35,0.058,DOR DEF1,DOR,DEF,77,project_20260722T045210Z,2025-26,1
code:10059,83.1004487046911,0.36853088657732036,0.09060822820365673,0.0,3.73,0.9985377617033113,0.997617984183124,0.9776656244994615,0.13,0.302,0.066,DOR FWD2,DOR,FWD,76,project_20260722T045210Z,2025-26,1
code:10084,82.2908933774698,0.1385941917750206,0.20299993293468643,0.0,3.662,0.9999941718272122,0.9999890754429251,0.9799892939340666,0.022,0.2,0.042,FAL MID2,FAL,MID,92,project_20260722T045210Z,2025-26,1
code:10083,82.29163173301089,0.16834840241187965,0.12775097374540031,0.0,3.628,0.999999757363131,0.999999497637952,0.979999507685193,0.02,0.19,0.034,FAL MID1,FAL,MID,105,project_20260722T045210Z,2025-26,1
code:10029,83.09874124553015,0.29008162144238353,0.11416398567434026,0.0,3.586,0.998305217227144,0.9976777826868396,0.9777242270331028,0.048,0.236,0.052,BIR FWD2,BIR,FWD,74,project_20260722T045210Z,2025-26,1
code:10069,82.29088355759373,0.18964205148822014,0.13786398895020738,0.0,3.554,0.9999935506601921,0.9999891709265478,0.9799893875080169,0.03,0.198,0.036,EXE MID2,EXE,MID,91,project_20260722T045210Z,2025-26,1
code:10014,83.10674817541127,0.3516425038216077,0.05173104170803886,0.0,3.552,0.9984466143536304,0.9977567934672757,0.9778016575979303,0.048,0.258,0.054,ALB FWD2,ALB,FWD,73,project_20260722T045210Z,2025-26,1
code:10071,81.88564468832945,0.1117595864784445,0.20991696979915925,0.0,3.514,0.9967154761823066,0.994360022140261,0.9744728216974557,0.062,0.182,0.034,EXE MID4,EXE,MID,65,project_20260722T045210Z,2025-26,1
code:10073,83.27547745872786,0.2920728903800519,0.0390651613335565,0.0,3.514,0.9999795574409995,0.9999696587544449,0.979970265579356,0.022,0.256,0.038,EXE FWD1,EXE,FWD,95,project_20260722T045210Z,2025-26,1
code:10040,82.27371862474855,0.1695237244165449,0.1123421496834534,0.0,3.486,0.9998466374598957,0.9997541848284216,0.9797591011318532,0.03,0.208,0.042,COV MID3,COV,MID,76,project_20260722T045210Z,2025-26,1
code:10013,83.27568494542706,0.25143661138588164,0.052829132017693195,0.0,3.45,0.9999853371780572,0.9999709049755091,0.9799714868759989,0.024,0.236,0.03,ALB FWD1,ALB,FWD,91,project_20260722T045210Z,2025-26,1
code:10028,83.27554117145893,0.3203160394051951,0.05719353792155274,0.0,3.422,0.9999811130280556,0.9999701244396034,0.9799707219508114,0.044,0.24,0.038,BIR FWD1,BIR,FWD,92,project_20260722T045210Z,2025-26,1
code:10046,80.31747526095418,1.1568954584857926e-06,1.0649522937465094e-06,3.5196644331832303,3.382,0.9924089570978306,0.9906309090619821,0.9708182908807425,0.152,0.268,0.016,DOR GKP1,DOR,GKP,58,project_20260722T045210Z,2025-26,1
code:10049,82.70625902175064,0.06512578310423145,0.03672519085387168,0.0,3.374,0.9998183619443883,0.9997448204421796,0.979749924033336,0.098,0.306,0.028,DOR DEF2,DOR,DEF,69,project_20260722T045210Z,2025-26,1
code:10085,82.27685126156078,0.1436186492448147,0.10584556432124968,0.0,3.374,0.9998712869059341,0.9997979959719059,0.9798020360524677,0.018,0.168,0.02,FAL MID3,FAL,MID,79,project_20260722T045210Z,2025-26,1
code:10068,82.29163227678778,0.14852621060023868,0.1368386514734994,0.0,3.368,0.9999997656821089,0.9999995035134477,0.9799995134431787,0.028,0.164,0.022,EXE MID1,EXE,MID,104,project_20260722T045210Z,2025-26,1
code:10010,82.26436541970803,0.14653655716994635,0.09144977097550405,0.0,3.334,0.9997945789737943,0.9996141571370257,0.9796218739942852,0.028,0.178,0.026,ALB MID3,COV,MID,74,project_20260722T045210Z,2025-26,1
code:10088,83.27548735965833,0.24351328383630172,0.056095205312911435,0.0,3.288,0.9999814396591907,0.999969109858982,0.9799697276618023,0.026,0.204,0.028,FAL FWD1,FAL,FWD,96,project_20260722T045210Z,2025-26,1
code:10026,81.87107429664752,0.11060880205478059,0.10095584928590919,0.0,3.268,0.9964142264451964,0.9942361251366479,0.974351402633915,0.038,0.148,0.018,BIR MID4,BIR,MID,62,project_20260722T045210Z,2025-26,1
code:10080,82.59184871328472,0.09963331293941416,0.047349107304302446,0.0,3.218,0.9986236775347157,0.9982902939724717,0.9783244880930223,0.13,0.282,0.032,FAL DEF3,FAL,DEF,63,project_20260722T045210Z,2025-26,1
code:10089,83.09611367237429,0.2417350668714898,0.1100470914083203,0.0,3.216,0.9983511759564115,0.9976168768937087,0.9776645393558345,0.098,0.206,0.024,FAL FWD2,FAL,FWD,78,project_20260722T045210Z,2025-26,1
code:10076,80.32095131796405,8.08579352488213e-07,6.97377646843764e-07,3.348768888363484,3.202,0.9920582241674883,0.9907421941296662,0.9709273502470729,0.124,0.256,0.004,FAL GKP1,FAL,GKP,60,project_20260722T045210Z,2025-26,1
code:10064,82.705686238567,0.02409453115084043,0.09410850256959181,0.0,3.194,0.9998249558091503,0.9997327630197143,0.9797381077593199,0.076,0.266,0.01,EXE DEF2,EXE,DEF,70,project_20260722T045210Z,2025-26,1
code:10061,80.39324953828539,1.1015392115729759e-06,9.371297118586164e-07,3.001338196337789,3.16,0.9927575658262933,0.9916676246747045,0.9718342721812103,0.104,0.252,0.008,EXE GKP1,EXE,GKP,59,project_20260722T045210Z,2025-26,1
code:10074,83.08746132562878,0.247254455055779,0.03890268433057695,0.0,3.154,0.9983895477819931,0.9974591009998458,0.9775099189798488,0.074,0.214,0.036,EXE FWD2,EXE,FWD,77,project_20260722T045210Z,2025-26,1
code:10016,80.2870997975732,8.245400149687918e-07,6.949404578935528e-07,3.160037726764908,3.142,0.9920903011323768,0.9902464129619665,0.9704414847027272,0.098,0.224,0.012,BIR GKP1,BIR,GKP,56,project_20260722T045210Z,2025-26,1
code:10051,81.81727462716083,0.06594294120328194,0.07382665788350071,0.0,3.118,0.9919666569904271,0.9878994401607747,0.9681414513575591,0.174,0.286,0.034,DOR DEF4,DOR,DEF,53,project_20260722T045210Z,2025-26,1
code:10063,82.72237148208885,0.02411881919939643,0.0317111523614982,0.0,3.094,0.9999722515143845,0.9999551149197575,0.9799560126213623,0.068,0.248,0.006,EXE DEF1,EXE,DEF,78,project_20260722T045210Z,2025-26,1
code:10038,82.2916320802993,0.12340606798168538,0.1162816456689315,0.0,3.092,0.999999736133665,0.9999995127520268,0.9799995224969863,0.028,0.15,0.02,COV MID1,COV,MID,102,project_20260722T045210Z,2025-26,1
code:10001,80.21469201011014,1.3162094127542998e-06,1.2316185597404735e-06,3.2004538946414223,3.052,0.9918600877115494,0.9892378738827737,0.9694531164051182,0.058,0.196,0.012,ALB GKP1,ALB,GKP,55,project_20260722T045210Z,2025-26,1
