input_id,role,origin,season,upstream_revision,source_url,retrieved_at_utc,expected_sha256,local_or_replay_path,redistribution,evidence_scope
VAASTAV-2022-23-merged_gw,historical source CSV,Vaastav / FPL,2022-23,f2090d378ebd1b0c3d14884770dde95f38c50a0d,https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/f2090d378ebd1b0c3d14884770dde95f38c50a0d/data/2022-23/gws/merged_gw.csv,2026-07-22T17:14:02.455900Z,b78a6d0456141f9033c32fc4122931baae780ac4a4938683451b1fce7a4fdd15,data/raw/vaastav/2022-23/merged_gw/20260722T171402455900Z.csv (ignored),not included; FPL/Understat underlying rights unresolved,historical panel and backtests; 2025-26 only expanded GW1/hardening
VAASTAV-2022-23-players_raw,historical source CSV,Vaastav / FPL,2022-23,f2090d378ebd1b0c3d14884770dde95f38c50a0d,https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/f2090d378ebd1b0c3d14884770dde95f38c50a0d/data/2022-23/players_raw.csv,2026-07-22T17:14:02.681660Z,a874c12817bbf4d454e60a5765629742b528d4ad0c2f39f56e4fc89640605f7f,data/raw/vaastav/2022-23/players_raw/20260722T171402681660Z.csv (ignored),not included; FPL/Understat underlying rights unresolved,historical panel and backtests; 2025-26 only expanded GW1/hardening
VAASTAV-2023-24-merged_gw,historical source CSV,Vaastav / FPL,2023-24,f2090d378ebd1b0c3d14884770dde95f38c50a0d,https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/f2090d378ebd1b0c3d14884770dde95f38c50a0d/data/2023-24/gws/merged_gw.csv,2026-07-22T17:14:10.731985Z,e9c09c8856f1c86b4f920f46ddd5033af83409439dfda53be925df2a3e7c8a9e,data/raw/vaastav/2023-24/merged_gw/20260722T171410731985Z.csv (ignored),not included; FPL/Understat underlying rights unresolved,historical panel and backtests; 2025-26 only expanded GW1/hardening
VAASTAV-2023-24-players_raw,historical source CSV,Vaastav / FPL,2023-24,f2090d378ebd1b0c3d14884770dde95f38c50a0d,https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/f2090d378ebd1b0c3d14884770dde95f38c50a0d/data/2023-24/players_raw.csv,2026-07-22T17:14:11.035597Z,43d8cf5efb3d901f2499558c40b392b7f0ee22afe28030f36266ad29024c63d9,data/raw/vaastav/2023-24/players_raw/20260722T171411035597Z.csv (ignored),not included; FPL/Understat underlying rights unresolved,historical panel and backtests; 2025-26 only expanded GW1/hardening
VAASTAV-2024-25-merged_gw,historical source CSV,Vaastav / FPL,2024-25,f2090d378ebd1b0c3d14884770dde95f38c50a0d,https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/f2090d378ebd1b0c3d14884770dde95f38c50a0d/data/2024-25/gws/merged_gw.csv,2026-07-22T05:22:59.180171Z,5bbbcba6353b4c72ad273adcc8e3aa451946a826564679788f45b1cb3325b84e,data/raw/vaastav/2024-25/merged_gw/20260722T052259180171Z.csv (ignored),not included; FPL/Understat underlying rights unresolved,historical panel and backtests; 2025-26 only expanded GW1/hardening
VAASTAV-2024-25-players_raw,historical source CSV,Vaastav / FPL,2024-25,f2090d378ebd1b0c3d14884770dde95f38c50a0d,https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/f2090d378ebd1b0c3d14884770dde95f38c50a0d/data/2024-25/players_raw.csv,2026-07-22T05:22:59.408939Z,75686051b265cbe7755ac71213ecaad21b26ee1cc46a8bafbba19c39ce894b05,data/raw/vaastav/2024-25/players_raw/20260722T052259408939Z.csv (ignored),not included; FPL/Understat underlying rights unresolved,historical panel and backtests; 2025-26 only expanded GW1/hardening
VAASTAV-2025-26-merged_gw,historical source CSV,Vaastav / FPL,2025-26,f2090d378ebd1b0c3d14884770dde95f38c50a0d,https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/f2090d378ebd1b0c3d14884770dde95f38c50a0d/data/2025-26/gws/merged_gw.csv,2026-07-24T03:33:09.623612Z,0d09f1f1cb1b5520ec8e2f25238aa652efe2a263d8ca7cb2b6538b27bf86727d,data/raw/vaastav/2025-26/merged_gw/20260724T033309623612Z.csv (ignored),not included; FPL/Understat underlying rights unresolved,expanded historical GW1/hardening and official 2026-27 training; not the main 76-fold tests
VAASTAV-2025-26-players_raw,historical source CSV,Vaastav / FPL,2025-26,f2090d378ebd1b0c3d14884770dde95f38c50a0d,https://raw.githubusercontent.com/vaastav/Fantasy-Premier-League/f2090d378ebd1b0c3d14884770dde95f38c50a0d/data/2025-26/players_raw.csv,2026-07-24T03:33:10.029712Z,412ce0172016f8f98f25177dc6de9f3cd2a8ec7a6135f9aa638d7fdee784d67b,data/raw/vaastav/2025-26/players_raw/20260724T033310029712Z.csv (ignored),not included; FPL/Understat underlying rights unresolved,expanded historical GW1/hardening and official 2026-27 training; not the main 76-fold tests
FPL-2026-27-bootstrap_static,official prospective snapshot,Official FPL API,2026-27,2026-27,https://fantasy.premierleague.com/api/bootstrap-static/,2026-07-24T02:28:29.714769Z,bc334cda5906726eacd60746ea25d5b953b39aa77a5eb3b4a2d5538bbac9e1da,data/raw/fpl_api/2026-27/bootstrap_static/20260724T022829714769Z.json (ignored),not included; official FPL rights unresolved,GW1 prospective validation and convergence
FPL-2026-27-fixtures,official prospective snapshot,Official FPL API,2026-27,2026-27,https://fantasy.premierleague.com/api/fixtures/,2026-07-24T02:28:29.719602Z,9e7484118381f8202830906ba993c176475d8ca1796571f5dd78cbfc2d73bd3e,data/raw/fpl_api/2026-27/fixtures/20260724T022829719602Z.json (ignored),not included; official FPL rights unresolved,GW1 prospective validation and convergence
