path,sha256
paper/FIGURE_NOTES.md,4b0c97d0a1eb8fbd904dccbb125e3913bd39dd8d3fc81304506f5e6368803e3f
paper/evidence_manifest.csv,0d35beb103388e45de202d12a2b5017a66962f415e55a8f1d2325c96d06f26f7
paper/evidence_supersession.csv,6d19d36901223c1bf8fecc80e776dd6d93af01ba5595947f87cc7edb531163f5
paper/figures/figure1_system_architecture.svg,68044a6bb544f28d8012e7e7684df376ce4fcb2a9c5b14be45c90c4ecbc92a4a
paper/figures/figure1_v7_player_points_pipeline.png,06c05fdd4bacb9301dedda1f3f59d1f00ae933d6dde062467e85b2811c9df896
paper/figures/figure2_evaluation_timeline.svg,68d5763a0beddd7ed0cce0f754c7ee06867a6a110159fe1123ebbce700230488
paper/figures/figure3_team_model_comparison.svg,944e6fcf39c4a5a1ab7d8aa4ddd0ca42ab837a4d9286434a9ed9b840eadaeab1
paper/figures/figure4_xpoints_comparison.svg,701e75229ac080c96acd3da66c3232ddd8ed79c52cc6376ec5eb7ad3d6c801ab
paper/figures/figure5_simulation_convergence.svg,e48d23280f5ae9055c1088f909146c4743b1eb8f5dbfb0d9f63273e0bcf47b74
paper/figures/figure6_simulator_tradeoffs.svg,ff011c7aaefb36f2ec1c62dfb293efc9b47109016d05c586c7f3898e71812bda
paper/figures/figure7_p5_calibration.svg,e28e9e8cd47e76ffc893eaf7d5e8f07a8a55f752a957e74bd4a323e69d323b49
paper/manuscript_value_map.csv,901c02f7791dc069900c85052c4da5bf2b7913eda1432d6868034b58a02cc5f7
paper/prospective_publication_registry.csv,f84b7d386446d4a9bcefb683f811a20e5ca04af2b588a0817593dfd651ad1fb5
paper/research_schema.csv,509970139bcfe1f1d684eb306b991ccdc384d9b75c47d233de278fbde8c2599c
paper/source_input_manifest.csv,041384632f4d3d9760db9f040091f1a14fef5c758ab0b38df227eb1b5bbade74
paper/tables/figure7_p5_calibration_bins.csv,b4ca0cfdc5949946e97e5ea8a9563353781103b3f27fb94c46ae8be270bfda0e
paper/tables/table1_historical_data_coverage.csv,82b8153d97a5bcb5eee03828e5634d94883949669745af5b7afc4458e54720de
paper/tables/table2_team_model_comparison.csv,2855c25b24bf08548248dc59b47b6e87b97b36344a00c23cc92fd12c1658ced3
paper/tables/table3_minutes_model_comparison.csv,dc7662f2780997ce27376fad14586eed00d9420a022e7240e1a494af29debd2e
paper/tables/table4_xpoints_comparison.csv,593355a3e3b024654567177b99e652835d16947e41e927c3c3053f7a4af16e21
paper/tables/table5_hybrid_simulation_convergence.csv,7bb1b0deabd2f819540f49511d3fd94ce8888d8fd12f116c9678255a39e4a0bb
paper/tables/table6_old_vs_hybrid_gw1_folds.csv,24fb23a0a8a70710e8bd8553e56ad8958b605e843dcb72cfbdab3164eda7a8f2
paper/tables/table7_decision_system_evidence.csv,3cd629462b2e2236ea06187e69b29e8ed45691e29cd9a8dcca2249753bfdc399
